customerid,recency,frequency,monetary,churned,recency_log,frequency_log,monetary_log,r_score,f_score,m_score,rfm_score,churn_probability,intervention
12841.0,16,17,2829.91,0,2.833213344056216,2.8903717578961645,7.948353493719946,5,5,5,15,0.0,Protect
12842.0,218,1,310.73,0,5.389071729816501,0.6931471805599453,5.742137428532665,1,1,2,4,1.0,Lost Cause
12843.0,69,7,1692.31,0,4.248495242049359,2.0794415416798357,7.434440472281921,3,5,5,13,0.02,Protect
12844.0,39,1,174.88,0,3.6888794541139363,0.6931471805599453,5.169801944312609,4,1,1,6,0.06,Maintain
12845.0,176,4,354.09000000000003,1,5.176149732573829,1.6094379124341003,5.872371278471126,1,4,2,7,0.56,Lost Cause
12849.0,178,1,651.21,0,5.187385805840755,0.6931471805599453,6.480366595957698,1,1,3,5,0.32,Protect
12851.0,6,1,131.81,1,1.9459101490553132,0.6931471805599453,4.8889195354121595,5,1,1,7,0.81,Lost Cause
12852.0,204,1,311.55,1,5.3230099791384085,0.6931471805599453,5.744764456377822,1,1,2,4,0.96,Lost Cause
12853.0,44,6,1957.1000000000001,1,3.8066624897703196,1.9459101490553132,7.579729894309281,4,5,5,14,0.62,Save
12854.0,150,2,810.37,0,5.017279836814924,1.0986122886681098,6.698724176955967,2,3,4,9,0.27,Protect
12855.0,282,1,38.1,1,5.645446897643238,0.6931471805599453,3.66612246699132,1,1,1,3,0.89,Lost Cause
12857.0,120,2,1106.4,1,4.795790545596741,1.0986122886681098,7.009770204388867,2,3,4,9,0.52,Save
12864.0,47,1,147.12,1,3.871201010907891,0.6931471805599453,4.998022756045412,4,1,1,6,0.75,Lost Cause
12867.0,5,6,3015.96,0,1.791759469228055,1.9459101490553132,8.012004980867657,5,5,5,15,0.17,Protect
12868.0,95,6,1607.0600000000002,1,4.564348191467836,1.9459101490553132,7.3827837624756185,3,5,5,13,0.75,Save
12871.0,116,1,132.0,0,4.762173934797756,0.6931471805599453,4.890349128221754,2,1,1,4,0.19,Maintain
12872.0,236,2,599.97,1,5.4680601411351315,1.0986122886681098,6.398545016483998,1,3,3,7,0.9,Save
12873.0,191,1,374.0,1,5.2574953720277815,0.6931471805599453,5.926926025970411,1,1,2,4,0.97,Lost Cause
12875.0,52,2,343.2300000000001,1,3.970291913552122,1.0986122886681098,5.841310038608051,4,3,2,9,0.93,Lost Cause
12877.0,34,9,1059.23,0,3.5553480614894135,2.302585092994046,6.966241144701187,4,5,4,13,0.34,Protect
12878.0,145,2,854.99,1,4.983606621708336,1.0986122886681098,6.752258693830513,2,3,4,9,0.98,Save
12879.0,1,1,140.5,0,0.6931471805599453,0.6931471805599453,4.952299717083292,5,1,1,7,0.45,Maintain
12881.0,185,1,298.0,1,5.225746673713202,0.6931471805599453,5.700443573390687,1,1,2,4,0.27,Maintain
12885.0,33,1,645.35,0,3.5263605246161616,0.6931471805599453,6.4713411527299565,4,1,3,8,0.3,Protect
12886.0,129,1,775.0,0,4.867534450455582,0.6931471805599453,6.654152520183219,2,1,4,7,0.12,Protect
12888.0,123,2,354.12,1,4.820281565605037,1.0986122886681098,5.87245576052578,2,3,2,7,0.45,Maintain
12891.0,95,3,331.0,1,4.564348191467836,1.3862943611198906,5.805134968916488,3,4,2,9,0.87,Lost Cause
12897.0,114,2,216.5,1,4.74493212836325,1.0986122886681098,5.382198850528739,2,3,2,7,0.53,Lost Cause
12901.0,18,19,11639.470000000001,0,2.9444389791664403,2.995732273553991,9.362243098477132,5,5,5,15,0.0,Protect
12902.0,174,1,138.68,1,5.1647859739235145,0.6931471805599453,4.939354092091292,1,1,1,3,0.99,Lost Cause
12904.0,81,1,244.69,0,4.406719247264253,0.6931471805599453,5.5040705786581645,3,1,2,6,0.09,Maintain
12908.0,85,2,750.0,1,4.454347296253507,1.0986122886681098,6.621405651764134,3,3,4,10,0.8,Save
12909.0,111,3,1513.52,0,4.718498871295094,1.3862943611198906,7.322853836058539,2,4,4,10,0.13,Protect
12910.0,43,4,1486.9,0,3.784189633918261,1.6094379124341003,7.305121008833652,4,4,4,12,0.08,Protect
12913.0,192,3,866.39,0,5.262690188904886,1.3862943611198906,6.765488702628331,1,4,4,9,0.14,Protect
12915.0,58,2,363.65,1,4.07753744390572,1.0986122886681098,5.898937989430242,3,3,2,8,0.83,Lost Cause
12916.0,48,4,2944.95,1,3.8918202981106265,1.6094379124341003,7.988186624712898,4,4,5,13,0.38,Protect
12917.0,37,1,594.0,1,3.6375861597263857,0.6931471805599453,6.38856140554563,4,1,3,8,0.8,Save
12919.0,26,3,441.65,0,3.295836866004329,1.3862943611198906,6.092779390057058,4,4,3,11,0.1,Maintain
12921.0,7,24,10083.47,0,2.0794415416798357,3.2188758248682006,9.218751895710364,5,5,5,15,0.0,Protect
12922.0,70,1,405.38,1,4.2626798770413155,0.6931471805599453,6.007288682454868,3,1,3,7,0.96,Lost Cause
12924.0,107,3,647.32,0,4.68213122712422,1.3862943611198906,6.474384401620264,2,4,3,9,0.26,Protect
12928.0,57,3,1136.14,0,4.060443010546419,1.3862943611198906,7.036271617217145,3,4,4,11,0.03,Protect
12929.0,221,1,117.85,1,5.402677381872279,0.6931471805599453,4.777862193806203,1,1,1,3,0.95,Lost Cause
12930.0,80,1,221.56,0,4.394449154672439,0.6931471805599453,5.405196728175133,3,1,2,6,0.14,Maintain
12931.0,11,11,32530.7,0,2.4849066497880004,2.4849066497880004,10.389970277554733,5,5,5,15,0.02,Protect
12933.0,80,2,357.49,0,4.394449154672439,1.0986122886681098,5.881900765647841,3,3,2,8,0.2,Maintain
12935.0,19,4,1535.34,0,2.995732273553991,1.6094379124341003,7.337158243379065,5,4,4,13,0.18,Protect
12937.0,106,2,428.23,0,4.672828834461906,1.0986122886681098,6.061992905797519,2,3,3,8,0.13,Maintain
12939.0,47,4,7990.08,0,3.871201010907891,1.6094379124341003,8.986081198587021,4,4,5,13,0.13,Protect
12942.0,40,3,675.6,1,3.713572066704308,1.3862943611198906,6.517080256346608,4,4,3,11,0.57,Save
12944.0,264,1,286.95,0,5.579729825986222,0.6931471805599453,5.6627868539526816,1,1,2,4,0.42,Maintain
12945.0,197,1,462.95,1,5.288267030694535,0.6931471805599453,6.139776787799188,1,1,3,5,0.99,Lost Cause
12947.0,53,6,1603.99,1,3.9889840465642745,1.9459101490553132,7.380872805015112,3,5,5,13,0.63,Save
12948.0,14,4,1423.96,0,2.70805020110221,1.6094379124341003,7.2618990221333375,5,4,4,13,0.48,Protect
12949.0,23,7,3449.42,0,3.1780538303479458,2.0794415416798357,8.146251241746233,4,5,5,14,0.01,Protect
12951.0,83,5,751.78,0,4.430816798843313,1.791759469228055,6.623773020436845,3,4,4,11,0.11,Protect
12955.0,2,6,1843.36,0,1.0986122886681098,1.9459101490553132,7.519887612827805,5,5,5,15,0.03,Protect
12956.0,215,1,108.07,1,5.375278407684165,0.6931471805599453,4.691989877940651,1,1,1,3,0.53,Lost Cause
12957.0,95,4,1715.29,0,4.564348191467836,1.6094379124341003,7.447920263438408,3,4,5,12,0.06,Protect
12962.0,22,1,170.54,0,3.1354942159291497,0.6931471805599453,5.144816475562275,4,1,1,6,0.41,Maintain
12963.0,275,1,365.8,0,5.62040086571715,0.6931471805599453,5.9048167403823095,1,1,2,4,0.08,Maintain
12967.0,267,2,1660.9,1,5.5909869805108565,1.0986122886681098,7.415716805133478,1,3,5,9,0.69,Save
12968.0,21,1,135.95,1,3.091042453358316,0.6931471805599453,4.919615895709087,4,1,1,6,0.84,Lost Cause
12970.0,231,2,23.8,0,5.44673737166631,1.0986122886681098,3.2108436531709366,1,3,1,5,0.22,Maintain
12971.0,1,64,8165.320000000001,0,0.6931471805599453,4.174387269895637,9.007773657984133,5,5,5,15,0.0,Protect
12974.0,107,1,144.8,1,4.68213122712422,0.6931471805599453,4.982235819574558,2,1,1,4,0.64,Lost Cause
12976.0,121,1,738.6,1,4.804021044733257,0.6931471805599453,6.60610949951297,2,1,4,7,0.73,Save
12977.0,65,1,39.239999999999995,1,4.189654742026425,0.6931471805599453,3.6948615257914836,3,1,1,5,0.76,Lost Cause
12980.0,67,9,7374.900000000001,1,4.219507705176107,2.302585092994046,8.905973207660795,3,5,5,13,0.57,Save
12981.0,42,1,187.18,0,3.7612001156935624,0.6931471805599453,5.237398951578619,4,1,1,6,0.16,Maintain
12982.0,152,1,390.54,1,5.030437921392435,0.6931471805599453,5.970087681348397,2,1,3,6,0.95,Lost Cause
12987.0,107,1,304.3,0,4.68213122712422,0.6931471805599453,5.721294899740832,2,1,2,5,0.27,Maintain
12988.0,201,1,505.82,1,5.308267697401205,0.6931471805599453,6.228155910967461,1,1,3,5,0.99,Lost Cause
12989.0,67,8,4469.14,0,4.219507705176107,2.1972245773362196,8.40517500702767,3,5,5,13,0.13,Protect
12990.0,94,2,263.9,0,4.553876891600541,1.0986122886681098,5.579352396278024,3,3,2,8,0.24,Maintain
12991.0,21,1,303.56,0,3.091042453358316,0.6931471805599453,5.718868112074242,4,1,2,7,0.23,Maintain
12993.0,30,3,372.4,0,3.4339872044851463,1.3862943611198906,5.922650231107622,4,4,2,10,0.12,Maintain
12994.0,29,2,645.47,0,3.4011973816621555,1.0986122886681098,6.47152679342293,4,3,3,10,0.32,Protect
12997.0,145,2,608.47,0,4.983606621708336,1.0986122886681098,6.4125897270372665,2,3,3,8,0.19,Protect
12999.0,105,3,455.88,1,4.663439094112067,1.3862943611198906,6.124420774356607,2,4,3,9,0.9,Lost Cause
13000.0,16,3,534.85,1,2.833213344056216,1.3862943611198906,6.283854271159006,5,4,3,12,0.81,Save
13001.0,67,11,8582.57,0,4.219507705176107,2.4849066497880004,9.057605189859183,3,5,5,13,0.18,Protect
13002.0,227,1,120.95,1,5.429345628954441,0.6931471805599453,4.80361112466193,1,1,1,3,0.9,Lost Cause
13003.0,15,3,149.05,1,2.772588722239781,1.3862943611198906,5.010968571886377,5,4,1,10,0.79,Lost Cause
13004.0,23,12,3785.09,0,3.1780538303479458,2.5649493574615367,8.239089103277532,4,5,5,14,0.0,Protect
13005.0,83,2,513.7,1,4.430816798843313,1.0986122886681098,6.243584206658709,3,3,3,9,0.86,Lost Cause
13008.0,232,1,229.47,1,5.4510384535657,0.6931471805599453,5.4401207021224,1,1,2,4,0.86,Lost Cause
13011.0,281,1,50.550000000000004,1,5.641907070938114,0.6931471805599453,3.942552210462969,1,1,1,3,0.96,Lost Cause
13012.0,58,4,1012.3100000000001,0,4.07753744390572,1.6094379124341003,6.920977479151259,3,4,4,11,0.01,Protect
13013.0,2,9,3686.09,0,1.0986122886681098,2.302585092994046,8.212592808025727,5,5,5,15,0.0,Protect
13014.0,23,5,2022.48,0,3.1780538303479458,1.791759469228055,7.612574080402483,4,4,5,13,0.03,Protect
13015.0,106,4,1763.04,0,4.672828834461906,1.6094379124341003,7.4753619120466075,2,4,5,11,0.05,Protect
13016.0,32,1,425.25,0,3.4965075614664802,0.6931471805599453,6.055026028597727,4,1,3,8,0.16,Maintain
13018.0,2,18,5075.71,0,1.0986122886681098,2.9444389791664403,8.532418692969303,5,5,5,15,0.0,Protect
13021.0,76,4,1152.47,0,4.343805421853684,1.6094379124341003,7.050530069473259,3,4,4,11,0.05,Protect
13023.0,39,1,291.4,0,3.6888794541139363,0.6931471805599453,5.678122727875623,4,1,2,7,0.36,Maintain
13026.0,2,3,604.2,0,1.0986122886681098,1.3862943611198906,6.405558981914201,5,4,3,12,0.18,Protect
13027.0,23,6,6912.0,1,3.1780538303479458,1.9459101490553132,8.841158975945264,4,5,5,14,0.75,Save
13029.0,48,2,773.1999999999999,0,3.8918202981106265,1.0986122886681098,6.651830238143548,4,3,4,11,0.11,Protect
13030.0,277,1,402.36,0,5.627621113690637,0.6931471805599453,5.999829463439609,1,1,3,5,0.24,Maintain
13033.0,266,1,190.55,1,5.58724865840025,0.6931471805599453,5.255148871146658,1,1,1,3,0.91,Lost Cause
13034.0,278,1,165.86,0,5.631211781821365,0.6931471805599453,5.117155137473929,1,1,1,3,0.0,Maintain
13035.0,170,1,333.0,0,5.14166355650266,0.6931471805599453,5.811140992976701,2,1,2,5,0.2,Maintain
13037.0,47,3,881.07,1,3.871201010907891,1.3862943611198906,6.782271417936915,4,4,4,12,0.64,Save
13038.0,93,2,591.76,0,4.543294782270004,1.0986122886681098,6.384789595321978,3,3,3,9,0.04,Protect
13043.0,182,1,516.42,1,5.209486152841421,0.6931471805599453,6.248854923817375,1,1,3,5,0.97,Lost Cause
13044.0,200,1,560.47,1,5.303304908059076,0.6931471805599453,6.330558344434147,1,1,3,5,1.0,Save
13045.0,8,1,305.28000000000003,1,2.1972245773362196,0.6931471805599453,5.724499716244923,5,1,2,8,0.8,Lost Cause
13046.0,175,1,197.72,0,5.170483995038151,0.6931471805599453,5.291896798745114,1,1,1,3,0.32,Maintain
13047.0,36,8,2682.01,0,3.6109179126442243,2.1972245773362196,7.894694577589756,4,5,5,14,0.03,Protect
13048.0,23,3,1358.55,0,3.1780538303479458,1.3862943611198906,7.214909041623512,4,4,4,12,0.35,Protect
13049.0,227,1,153.78000000000003,0,5.429345628954441,0.6931471805599453,5.042004753842313,1,1,1,3,0.4,Maintain
13050.0,15,13,4505.99,0,2.772588722239781,2.6390573296152584,8.413384803917387,5,5,5,15,0.0,Protect
13052.0,121,1,348.15000000000003,1,4.804021044733257,0.6931471805599453,5.8555016292920445,2,1,2,5,0.95,Lost Cause
13055.0,123,1,344.86,0,4.820281565605037,0.6931471805599453,5.846034068897776,2,1,2,5,0.52,Lost Cause
13058.0,61,1,47.550000000000004,0,4.127134385045092,0.6931471805599453,3.882594194737334,3,1,1,5,0.13,Maintain
13059.0,159,1,183.4,1,5.075173815233827,0.6931471805599453,5.2171073111224935,2,1,1,4,0.73,Lost Cause
13060.0,163,1,307.53000000000003,1,5.099866427824199,0.6931471805599453,5.731819083350057,2,1,2,5,0.9,Lost Cause
13062.0,100,1,346.98,1,4.61512051684126,0.6931471805599453,5.85214500685857,2,1,2,5,0.85,Lost Cause
13064.0,62,2,659.25,0,4.143134726391533,1.0986122886681098,6.492618551177242,3,3,3,9,0.31,Protect
13065.0,282,1,205.86,1,5.645446897643238,0.6931471805599453,5.3320422359496575,1,1,1,3,0.7,Lost Cause
13068.0,229,1,165.0,0,5.438079308923196,0.6931471805599453,5.111987788356544,1,1,1,3,0.27,Maintain
13069.0,9,20,3870.02,0,2.302585092994046,3.044522437723423,8.261273317187912,5,5,5,15,0.0,Protect
13070.0,101,1,228.8,1,4.624972813284271,0.6931471805599453,5.437209365414655,2,1,2,5,0.67,Lost Cause
13072.0,176,1,177.15,1,5.176149732573829,0.6931471805599453,5.182625892051845,1,1,1,3,0.89,Lost Cause
13075.0,39,1,919.61,1,3.6888794541139363,0.6931471805599453,6.825036493805135,4,1,4,9,0.72,Save
13077.0,199,3,576.19,0,5.298317366548036,1.3862943611198906,6.358171501732311,1,4,3,8,0.16,Protect
13078.0,16,15,6917.150000000001,0,2.833213344056216,2.772588722239781,8.841903671829266,5,5,5,15,0.02,Protect
13079.0,0,2,59.5,0,0.0,1.0986122886681098,4.102643365036796,5,3,1,9,0.12,Maintain
13080.0,88,1,58.08,1,4.48863636973214,0.6931471805599453,4.078892457663179,3,1,1,5,0.86,Lost Cause
13081.0,53,8,18870.12,0,3.9889840465642745,2.1972245773362196,9.845387990072366,3,5,5,13,0.07,Protect
13082.0,35,9,3613.63,1,3.58351893845611,2.302585092994046,8.192744778040643,4,5,5,14,0.02,Protect
13085.0,67,2,416.08,1,4.219507705176107,1.0986122886681098,6.0332780499213925,3,3,3,9,0.81,Lost Cause
13089.0,9,71,43260.74,0,2.302585092994046,4.276666119016055,10.675023920612178,5,5,5,15,0.02,Protect
13090.0,45,8,4897.02,0,3.828641396489095,2.1972245773362196,8.496586320803083,4,5,5,14,0.0,Protect
13092.0,121,4,439.75,0,4.804021044733257,1.6094379124341003,6.08847782127798,2,4,3,9,0.23,Maintain
13093.0,185,8,7832.47,1,5.225746673713202,2.1972245773362196,8.966160858120457,1,5,5,11,0.85,Save
13094.0,39,10,1545.72,0,3.6888794541139363,2.3978952727983707,7.343891838716296,4,5,4,13,0.01,Protect
13097.0,32,8,4636.51,0,3.4965075614664802,2.1972245773362196,8.441932863247597,4,5,5,14,0.0,Protect
13098.0,3,18,15169.46,0,1.3862943611198906,2.9444389791664403,9.627105394888778,5,5,5,15,0.0,Protect
13099.0,8,1,207.36,1,2.1972245773362196,0.6931471805599453,5.339267352876991,5,1,2,8,0.78,Lost Cause
13101.0,143,1,101.19,1,4.969813299576001,0.6931471805599453,4.626833825624118,2,1,1,4,0.98,Lost Cause
13102.0,43,19,4961.7,0,3.784189633918261,2.995732273553991,8.509705226450334,4,5,5,14,0.0,Protect
13104.0,42,3,376.44,0,3.7612001156935624,1.3862943611198906,5.933411615659365,4,4,2,10,0.17,Maintain
13106.0,42,1,76.5,1,3.7612001156935624,0.6931471805599453,4.350277936359301,4,1,1,6,0.94,Lost Cause
13107.0,85,2,935.22,0,4.454347296253507,1.0986122886681098,6.8418504915944185,3,3,4,10,0.17,Protect
13108.0,282,1,350.06,1,5.645446897643238,0.6931471805599453,5.8609571490281995,1,1,2,4,0.42,Maintain
13109.0,66,1,369.85,0,4.204692619390966,0.6931471805599453,5.9157976681825675,3,1,2,6,0.31,Maintain
13110.0,46,5,1042.24,0,3.8501476017100584,1.791759469228055,6.9500865339955755,4,4,4,12,0.03,Protect
13113.0,23,20,10787.06,0,3.1780538303479458,3.044522437723423,9.286195245979416,4,5,5,14,0.03,Protect
13115.0,93,1,878.55,0,4.543294782270004,0.6931471805599453,6.779410413044914,3,1,4,8,0.28,Protect
13116.0,47,1,501.14,1,3.871201010907891,0.6931471805599453,6.218878965272838,4,1,3,8,0.87,Lost Cause
13117.0,31,7,841.77,0,3.4657359027997265,2.0794415416798357,6.736694085662892,4,5,4,13,0.01,Protect
13118.0,117,3,799.7,0,4.770684624465665,1.3862943611198906,6.685486345078588,2,4,4,10,0.21,Protect
13120.0,148,1,30.6,1,5.003946305945459,0.6931471805599453,3.4531571205928664,2,1,1,4,0.73,Lost Cause
13121.0,178,1,283.73,1,5.187385805840755,0.6931471805599453,5.6515413628105104,1,1,2,4,0.91,Lost Cause
13122.0,3,2,922.39,1,1.3862943611198906,1.0986122886681098,6.828051680471256,5,3,4,12,0.89,Save
13124.0,161,2,2516.47,0,5.087596335232384,1.0986122886681098,7.831009707937802,2,3,5,10,0.04,Protect
13126.0,162,5,1077.42,0,5.093750200806762,1.791759469228055,6.983252285980133,2,4,4,10,0.14,Protect
13130.0,3,1,64.0,1,1.3862943611198906,0.6931471805599453,4.174387269895637,5,1,1,7,0.91,Lost Cause
13131.0,97,1,324.90000000000003,0,4.584967478670572,0.6931471805599453,5.786590585843516,3,1,2,6,0.4,Maintain
13132.0,171,1,77.3,1,5.147494476813453,0.6931471805599453,4.360547602996758,2,1,1,4,0.91,Lost Cause
13133.0,183,2,109.8,1,5.214935757608986,1.0986122886681098,4.707726774313183,1,3,1,5,0.84,Lost Cause
13134.0,93,3,885.74,0,4.543294782270004,1.3862943611198906,6.7875518164545365,3,4,4,11,0.16,Protect
13135.0,106,1,3096.0,1,4.672828834461906,0.6931471805599453,8.038189179973203,2,1,5,8,0.81,Save
13136.0,52,3,1226.68,0,3.970291913552122,1.3862943611198906,7.112881488429355,4,4,4,12,0.22,Protect
13137.0,2,5,1888.32,0,1.0986122886681098,1.791759469228055,7.543972254954539,5,4,5,14,0.11,Protect
13138.0,42,3,489.45,0,3.7612001156935624,1.3862943611198906,6.195323337010325,4,4,3,11,0.04,Maintain
13139.0,19,3,1710.94,0,2.995732273553991,1.3862943611198906,7.445382509358565,5,4,5,14,0.17,Protect
13140.0,17,3,422.47,1,2.8903717578961645,1.3862943611198906,6.048482673330305,5,4,3,12,0.78,Lost Cause
13141.0,123,4,1401.03,0,4.820281565605037,1.6094379124341003,7.2456764653684544,2,4,4,10,0.16,Protect
13144.0,242,1,110.95,1,5.493061443340548,0.6931471805599453,4.718052343044764,1,1,1,3,0.66,Lost Cause
13145.0,1,3,499.72,0,0.6931471805599453,1.3862943611198906,6.216047062616446,5,4,3,12,0.05,Maintain
13147.0,9,1,118.8,0,2.302585092994046,0.6931471805599453,4.785823685681349,5,1,1,7,0.49,Maintain
13148.0,43,10,2766.01,0,3.784189633918261,2.3978952727983707,7.925522593802802,4,5,5,14,0.01,Protect
13149.0,15,3,1132.6200000000001,0,2.772588722239781,1.3862943611198906,7.033171331128388,5,4,4,13,0.0,Protect
13151.0,205,1,1257.8700000000001,1,5.327876168789581,0.6931471805599453,7.1379697721602025,1,1,4,6,0.95,Save
13155.0,236,2,569.2,0,5.4680601411351315,1.0986122886681098,6.345987176478571,1,3,3,7,0.35,Protect
13157.0,50,3,873.2,0,3.9318256327243257,1.3862943611198906,6.773309182429214,4,4,4,12,0.04,Protect
13158.0,4,4,1201.06,1,1.6094379124341003,1.6094379124341003,7.091792030654675,5,4,4,13,0.82,Save
13159.0,15,2,843.09,0,2.772588722239781,1.0986122886681098,6.7382591239819325,5,3,4,12,0.04,Protect
13161.0,222,1,112.75,1,5.407171771460119,0.6931471805599453,4.7340030578310595,1,1,1,3,0.86,Lost Cause
13162.0,31,4,1688.29,1,3.4657359027997265,1.6094379124341003,7.432063601299488,4,4,5,13,0.73,Save
13165.0,260,1,354.64,0,5.564520407322694,0.6931471805599453,5.873918983252938,1,1,2,4,0.19,Maintain
13166.0,192,1,417.2,1,5.262690188904886,0.6931471805599453,6.035959786994534,1,1,3,5,0.95,Lost Cause
13167.0,40,2,417.55,0,3.713572066704308,1.0986122886681098,6.036796357106065,4,3,3,10,0.16,Maintain
13168.0,108,3,953.0600000000001,0,4.6913478822291435,1.3862943611198906,6.860726562552361,2,4,4,10,0.06,Protect
13169.0,161,1,505.2,0,5.087596335232384,0.6931471805599453,6.226931848111024,2,1,3,6,0.78,Lost Cause
13171.0,208,1,140.35,0,5.342334251964811,0.6931471805599453,4.9512390841395995,1,1,1,3,0.73,Lost Cause
13173.0,276,1,165.94,0,5.6240175061873385,0.6931471805599453,5.117634466422591,1,1,1,3,0.16,Maintain
13174.0,225,2,2030.06,0,5.420534999272286,1.0986122886681098,7.616313103241515,1,3,5,9,0.12,Protect
13178.0,42,8,4391.7300000000005,0,3.7612001156935624,2.1972245773362196,8.38770618067106,4,5,5,14,0.0,Protect
13183.0,10,6,2394.98,0,2.3978952727983707,1.9459101490553132,7.781547611955093,5,5,5,15,0.0,Protect
13184.0,40,9,1471.1,0,3.713572066704308,2.302585092994046,7.294445231763968,4,5,4,13,0.0,Protect
13185.0,177,1,71.4,1,5.181783550292085,0.6931471805599453,4.282206299391671,1,1,1,3,0.91,Lost Cause
13186.0,3,2,1301.94,0,1.3862943611198906,1.0986122886681098,7.17237852848212,5,3,4,12,0.25,Protect
13187.0,246,1,236.02,1,5.5093883366279774,0.6931471805599453,5.4681445257603025,1,1,2,4,0.76,Lost Cause
13189.0,24,1,127.0,0,3.2188758248682006,0.6931471805599453,4.852030263919617,4,1,1,6,0.1,Maintain
13192.0,4,2,911.94,1,1.6094379124341003,1.0986122886681098,6.81667016102037,5,3,4,12,0.61,Save
13194.0,45,1,60.7,1,3.828641396489095,0.6931471805599453,4.122283930911342,4,1,1,6,0.97,Lost Cause
13196.0,171,1,512.13,0,5.147494476813453,0.6931471805599453,6.240529224373591,2,1,3,6,0.53,Lost Cause
13198.0,30,5,3009.18,0,3.4339872044851463,1.791759469228055,8.009755156619384,4,4,5,13,0.1,Protect
13199.0,1,21,4725.16,0,0.6931471805599453,3.091042453358316,8.460868312442503,5,5,5,15,0.0,Protect
13200.0,35,1,319.32,0,3.58351893845611,0.6931471805599453,5.769320496126856,4,1,2,7,0.27,Maintain
13203.0,30,2,309.86,0,3.4339872044851463,1.0986122886681098,5.739342650054752,4,3,2,9,0.72,Lost Cause
13207.0,60,1,197.52000000000004,0,4.110873864173311,0.6931471805599453,5.29088985071924,3,1,1,5,0.08,Maintain
13208.0,64,4,828.82,0,4.174387269895637,1.6094379124341003,6.721208809801614,3,4,4,11,0.06,Protect
13209.0,38,5,4156.08,0,3.6635616461296463,1.791759469228055,8.332568183715043,4,4,5,13,0.02,Protect
13210.0,3,1,353.48,1,1.3862943611198906,0.6931471805599453,5.8706519268912345,5,1,2,8,0.76,Lost Cause
13211.0,4,2,784.64,0,1.6094379124341003,1.0986122886681098,6.6664986722410005,5,3,4,12,0.01,Protect
13213.0,37,4,963.88,0,3.6375861597263857,1.6094379124341003,6.8720037412749875,4,4,4,12,0.01,Protect
13216.0,177,1,333.74,1,5.181783550292085,0.6931471805599453,5.813354111085492,1,1,2,4,0.88,Lost Cause
13217.0,31,3,533.98,1,3.4657359027997265,1.3862943611198906,6.282229363019668,4,4,3,11,0.62,Save
13218.0,36,1,62.64,1,3.6109179126442243,0.6931471805599453,4.153242203469586,4,1,1,6,0.9,Lost Cause
13220.0,95,3,726.49,0,4.564348191467836,1.3862943611198906,6.589600253246707,3,4,3,10,0.26,Protect
13221.0,149,2,844.86,1,5.0106352940962555,1.0986122886681098,6.740353861278561,2,3,4,9,0.85,Save
13223.0,109,2,163.2,1,4.700480365792417,1.0986122886681098,5.101085197018328,2,3,1,6,0.9,Lost Cause
13224.0,60,1,1212.26,0,4.110873864173311,0.6931471805599453,7.101066230575693,3,1,4,8,0.3,Protect
